"target_id","comparator_id","outcome_id","analysis_id","log_relative_risk","log_likelihood"
1,2,4008,1,-1.61501805555556,-601.556728660422
1,2,4008,1,-1.59902777777778,-589.619797039568
1,2,4008,1,-1.5830375,-577.798522790576
1,2,4008,1,-1.56704722222222,-566.093372771807
1,2,4008,1,-1.55105694444444,-554.504802020861
1,2,4008,1,-1.53506666666667,-543.033255693557
1,2,4008,1,-1.51907638888889,-531.679162505287
1,2,4008,1,-1.50308611111111,-520.442940988783
1,2,4008,1,-1.48709583333333,-509.32499693882
1,2,4008,1,-1.47110555555556,-498.325723551501
1,2,4008,1,-1.45511527777778,-487.445499367161
1,2,4008,1,-1.439125,-476.684691085584
1,2,4008,1,-1.42313472222222,-466.043651039838
1,2,4008,1,-1.40714444444444,-455.522719226823
1,2,4008,1,-1.39115416666667,-445.12222023249
1,2,4008,1,-1.37516388888889,-434.842465113179
1,2,4008,1,-1.35917361111111,-424.683752422246
1,2,4008,1,-1.34318333333333,-414.646363943422
1,2,4008,1,-1.32719305555556,-404.730567885272
1,2,4008,1,-1.31120277777778,-394.936620199403
1,2,4008,1,-1.2952125,-385.264759455556
1,2,4008,1,-1.27922222222222,-375.715209886241
1,2,4008,1,-1.26323194444444,-366.288181611561
1,2,4008,1,-1.24724166666667,-356.983870443362
1,2,4008,1,-1.23125138888889,-347.802455391071
1,2,4008,1,-1.21526111111111,-338.744100932201
1,2,4008,1,-1.19927083333333,-329.808957605181
1,2,4008,1,-1.18328055555556,-320.997158500586
1,2,4008,1,-1.16729027777778,-312.308822861502
1,2,4008,1,-1.1513,-303.744054215142
1,2,4008,1,-1.13530972222222,-295.302939957066
1,2,4008,1,-1.11931944444444,-286.985553918179
1,2,4008,1,-1.10332916666667,-278.791950263814
1,2,4008,1,-1.08733888888889,-270.722172297521
1,2,4008,1,-1.07134861111111,-262.776245171186
1,2,4008,1,-1.05535833333333,-254.954178568747
1,2,4008,1,-1.03936805555556,-247.255966930652
1,2,4008,1,-1.02337777777778,-239.681588118725
1,2,4008,1,-1.0073875,-232.231006636328
1,2,4008,1,-0.991397222222222,-224.90416899684
1,2,4008,1,-0.975406944444444,-217.701007308076
1,2,4008,1,-0.959416666666667,-210.621438549229
1,2,4008,1,-0.943426388888889,-203.665363015609
1,2,4008,1,-0.927436111111111,-196.832665360547
1,2,4008,1,-0.911445833333333,-190.123217390006
1,2,4008,1,-0.895455555555556,-183.536871887232
1,2,4008,1,-0.879465277777778,-177.073469807041
1,2,4008,1,-0.863475,-170.732834678991
1,2,4008,1,-0.847484722222222,-164.514775516098
1,2,4008,1,-0.831494444444445,-158.419086566595
1,2,4008,1,-0.815504166666667,-152.445547780329
1,2,4008,1,-0.799513888888889,-146.593923256034
1,2,4008,1,-0.783523611111111,-140.863962713933
1,2,4008,1,-0.767533333333333,-135.255402404709
1,2,4008,1,-0.751543055555556,-129.767961730828
