targetCohortDefinitionId,timeAtRiskId,outcomeCohortDefinitionId,subgroupCohortDefinitionId,random.te,random.te.lower,random.te.upper,seTE.random,tau2,se.tau2,tau,lower.predict,upper.predict,seTE.predict
104,5,310,62,-5.598261295320473,-6.059196935201289,-5.137325655439657,0.2351755662433684,0.3865566123821849,0.28280589844322057,0.6217367709748113,-7.3070006523045326,-3.8895219383364132,0.6647286358658501
104,5,310,71,-5.490499826182178,-5.937565951915257,-5.043433700449098,0.2280991534841866,0.4153403526760525,0.35283132758912866,0.6444690471047096,-7.163317250958315,-3.81768240140604,0.6836443347942371
104,5,310,72,-5.095750215461013,-5.479932850654291,-4.711567580267736,0.19601515039238548,0.3067521636991315,0.2509265343783852,0.5538521135638389,-6.533348105766002,-3.6581523251560246,0.587515193746069
104,5,310,81,-4.740177136410655,-5.144860986616574,-4.335493286204737,0.20647514617514068,0.29423452947950657,0.2585025489089366,0.5424338941101547,-6.232148049967934,-3.2482062228533763,0.5804020291724972
104,5,310,82,-4.544054396046809,-4.944161645768913,-4.143947146324704,0.2041401030213307,0.28910344283903083,0.26087506594069376,0.5376834039088717,-6.022477837199416,-3.0656309548942016,0.5751318322789918
104,5,310,91,-4.184445553043341,-4.600700848348376,-3.7681902577383064,0.21237905318077446,0.2700767821921513,0.24237833696698868,0.5196891207175222,-5.743170727919261,-2.625720378167421,0.5614104064070362
104,5,310,92,-4.203283303523088,-4.671041262212382,-3.7355253448337944,0.23865640510688424,0.3406400811810856,0.3188125973243979,0.5836437964898501,-5.953978818896924,-2.452587788149253,0.6305529009366516
104,5,312,21,-12.540178760573577,-13.103869915672684,-11.97648760547447,0.2876028128809669,0.012646146244989826,0.36081725797668446,0.11245508545632708,-13.333991430632057,-11.746366090515096,0.30880661298300316
104,5,312,22,-12.266742642972273,-12.694441848617133,-11.839043437327414,0.21821789023599242,0,0.22280592317884484,0,-12.827689587823794,-11.705795698120752,0.21821789023599242
104,5,312,31,-12.250254110903295,-12.561272274410609,-11.939235947395982,0.15868565236942345,0.04696615173461484,0.09727414308225649,0.21671675462366735,-12.940718746615406,-11.559789475191184,0.26860247207076177
104,5,312,32,-11.742544979403906,-11.922593234086634,-11.562496724721179,0.09186304243492506,0,0.03764637210141451,0,-11.978686447653413,-11.5064035111544,0.09186304243492506
104,5,312,41,-9.648471891639106,-10.209736588071873,-9.08720719520634,0.28636480101672884,0.5376896651140299,0.47734257940517216,0.7332732540561056,-11.67205125939319,-7.624892523885023,0.7872067481769834
